Date,Open,High,Low,Close,Adj Close,Volume
2020-09-08,72.800003,75.300003,72.669998,73.849998,71.963776,2913400
2020-09-09,73.849998,74.129997,72.410004,73.400002,71.525269,1541300
2020-09-10,73.519997,74.570000,72.550003,72.720001,70.862640,855400
2020-09-11,72.949997,73.309998,70.580002,71.930000,70.092819,908300
2020-09-14,72.489998,74.610001,72.309998,74.419998,72.519218,1121800
2020-09-15,74.510002,76.879997,74.510002,76.709999,74.750725,536200
2020-09-16,77.040001,77.099998,74.199997,74.239998,72.343811,514300
2020-09-17,72.989998,73.629997,71.879997,73.389999,72.181534,675000
2020-09-18,73.540001,74.190002,73.260002,73.949997,72.732315,2575200
2020-09-21,72.739998,73.129997,71.260002,72.500000,71.306190,1207900
2020-09-22,73.050003,73.580002,72.099998,73.379997,72.171692,842600
2020-09-23,73.629997,74.919998,73.349998,73.669998,72.456924,458000
2020-09-24,73.320000,74.970001,72.720001,74.720001,73.489632,465100
2020-09-25,74.959999,76.559998,74.540001,75.870003,74.620705,839500
2020-09-28,76.449997,77.614998,76.449997,77.519997,76.243523,1397500
2020-09-29,77.629997,77.629997,76.440002,76.830002,75.564896,312200
2020-09-30,76.769997,77.599998,76.080002,76.480003,75.220657,815000
2020-10-01,77.070000,77.300003,75.940002,76.629997,75.368179,562600
2020-10-02,75.529999,76.410004,75.290001,76.330002,75.073128,584900
2020-10-05,76.309998,77.059998,76.019997,76.629997,75.368179,1200800
2020-10-06,76.900002,78.269997,76.279999,76.529999,75.269836,710400
2020-10-07,76.839996,77.500000,76.510002,77.129997,75.859947,501700
2020-10-08,77.379997,79.449997,77.379997,79.139999,77.836853,2079300
2020-10-09,79.300003,79.360001,78.169998,78.250000,76.961502,1360800
2020-10-13,77.620003,77.970001,76.970001,77.540001,76.263199,1164400
2020-10-14,77.620003,79.510002,77.309998,78.209999,76.922165,1238300
2020-10-15,77.459999,77.680000,76.430000,77.510002,76.233696,588900
2020-10-16,77.800003,78.230003,75.739998,75.839996,74.591187,533200
2020-10-19,76.010002,76.349998,73.989998,74.129997,72.909348,1363500
2020-10-20,74.860001,74.970001,74.059998,74.459999,73.233917,1880700
2020-10-21,74.349998,74.525002,73.239998,74.199997,72.978195,580900
2020-10-22,74.250000,75.279999,73.720001,75.040001,73.804367,533800
2020-10-23,75.239998,75.519997,73.820000,74.580002,73.351944,240900
2020-10-26,74.419998,74.419998,72.260002,73.110001,71.906143,471600
2020-10-27,72.250000,73.190002,69.839996,70.330002,69.171921,899300
2020-10-28,69.470001,70.320000,68.070000,69.839996,68.689987,1583500
2020-10-29,70.160004,71.480003,69.910004,70.639999,69.476822,470500
2020-10-30,69.900002,70.540001,68.910004,69.230003,68.090034,582100
2020-11-02,69.879997,69.910004,67.769997,68.470001,67.342552,982500
2020-11-03,68.959999,71.279999,68.769997,71.000000,69.830887,553800
2020-11-04,71.309998,71.949997,70.169998,70.870003,69.703033,404700
2020-11-05,71.790001,71.790001,69.889999,70.559998,69.398132,635100
2020-11-06,70.849998,70.849998,69.440002,70.209999,69.053902,618900
2020-11-09,74.410004,78.000000,73.900002,75.559998,74.315796,1030800
2020-11-10,75.760002,76.320000,74.820000,76.209999,74.955101,638000
2020-11-11,75.959999,76.300003,74.800003,75.050003,73.814201,1206600
2020-11-12,74.750000,75.680000,73.860001,74.589996,73.361771,651100
2020-11-13,74.849998,76.739998,74.839996,76.400002,75.141975,486300
2020-11-16,76.459999,78.570000,76.459999,78.419998,77.128708,708000
2020-11-17,78.519997,78.800003,76.849998,77.930000,76.646782,572400
2020-11-18,78.160004,78.169998,76.800003,77.220001,75.948471,594600
2020-11-19,77.349998,77.919998,76.699997,77.839996,76.558258,735400
2020-11-20,77.580002,78.120003,77.040001,77.230003,75.958313,447900
2020-11-23,77.430000,78.300003,76.430000,77.389999,76.115662,994900
2020-11-24,78.000000,79.000000,77.849998,78.180000,76.892662,600900
2020-11-25,77.870003,77.870003,76.349998,77.059998,75.791100,681800
2020-11-26,77.000000,77.480003,76.419998,77.150002,75.879623,135300
2020-11-27,77.000000,77.589996,75.349998,75.930000,74.679710,394500
2020-11-30,75.300003,75.360001,73.570000,74.010002,72.791328,800800
2020-12-01,74.360001,74.620003,72.910004,74.220001,72.997871,644900
